run;version;scenario;time;mutants;killed;incremental;combinedTime;combined;filteredConflicts;killingPrioritized
10;3.10;combinedMutantAnalysis;321;12912;11021;317;24;556;16;0
11;3.10;combinedMutantAnalysis;321;12912;11023;317;24;496;16;0
12;3.10;combinedMutantAnalysis;317;12912;11022;317;24;556;16;0
13;3.10;combinedMutantAnalysis;334;12912;11021;317;24;553;16;0
14;3.10;combinedMutantAnalysis;322;12912;11022;317;24;500;16;0
15;3.10;combinedMutantAnalysis;321;12912;11023;316;24;499;16;0
16;3.10;combinedMutantAnalysis;328;12912;11021;317;24;496;16;0
17;3.10;combinedMutantAnalysis;323;12912;11022;317;25;499;16;0
18;3.10;combinedMutantAnalysis;321;12912;11022;316;24;499;16;0
19;3.10;combinedMutantAnalysis;320;12912;11021;315;24;499;16;0
1;3.10;combinedMutantAnalysis;323;12912;11022;317;24;499;16;0
20;3.10;combinedMutantAnalysis;323;12912;11021;310;24;499;16;0
21;3.10;combinedMutantAnalysis;321;12912;11022;317;24;553;16;0
22;3.10;combinedMutantAnalysis;323;12912;11022;317;24;554;16;0
23;3.10;combinedMutantAnalysis;331;12912;11021;317;24;500;16;0
24;3.10;combinedMutantAnalysis;318;12912;11024;317;24;556;16;0
25;3.10;combinedMutantAnalysis;318;12912;11021;318;24;499;16;0
26;3.10;combinedMutantAnalysis;329;12912;11021;318;25;556;16;0
27;3.10;combinedMutantAnalysis;316;12912;11022;316;24;553;16;0
28;3.10;combinedMutantAnalysis;358;12912;11020;317;24;553;16;0
29;3.10;combinedMutantAnalysis;318;12912;11021;317;24;496;16;0
2;3.10;combinedMutantAnalysis;321;12912;11022;317;24;556;16;0
30;3.10;combinedMutantAnalysis;323;12912;11022;317;24;499;16;0
31;3.10;combinedMutantAnalysis;320;12912;11023;315;24;556;16;0
32;3.10;combinedMutantAnalysis;319;12912;11021;309;23;556;16;0
33;3.10;combinedMutantAnalysis;334;12912;11022;316;24;556;16;0
34;3.10;combinedMutantAnalysis;319;12912;11023;316;24;556;16;0
35;3.10;combinedMutantAnalysis;319;12912;11023;316;24;497;16;0
36;3.10;combinedMutantAnalysis;318;12912;11022;317;24;556;16;0
37;3.10;combinedMutantAnalysis;330;12912;11022;315;24;556;16;0
38;3.10;combinedMutantAnalysis;318;12912;11022;316;24;499;16;0
39;3.10;combinedMutantAnalysis;325;12912;11020;316;24;553;16;0
3;3.10;combinedMutantAnalysis;324;12912;11021;316;24;496;16;0
40;3.10;combinedMutantAnalysis;322;12912;11022;318;24;556;16;0
41;3.10;combinedMutantAnalysis;322;12912;11022;317;24;556;16;0
42;3.10;combinedMutantAnalysis;323;12912;11022;316;24;496;16;0
43;3.10;combinedMutantAnalysis;319;12912;11019;317;24;500;16;0
44;3.10;combinedMutantAnalysis;327;12912;11022;317;24;556;16;0
45;3.10;combinedMutantAnalysis;321;12912;11022;318;24;499;16;0
46;3.10;combinedMutantAnalysis;317;12912;11022;317;24;499;16;0
47;3.10;combinedMutantAnalysis;315;12912;11023;317;23;496;16;0
48;3.10;combinedMutantAnalysis;330;12912;11021;317;24;499;16;0
49;3.10;combinedMutantAnalysis;320;12912;11023;316;24;556;16;0
4;3.10;combinedMutantAnalysis;321;12912;11023;316;24;553;16;0
50;3.10;combinedMutantAnalysis;322;12912;11020;317;24;496;16;0
5;3.10;combinedMutantAnalysis;323;12912;11022;316;24;556;16;0
6;3.10;combinedMutantAnalysis;325;12912;11022;317;24;556;16;0
7;3.10;combinedMutantAnalysis;330;12912;11020;316;24;496;16;0
8;3.10;combinedMutantAnalysis;322;12912;11025;316;24;553;16;0
9;3.10;combinedMutantAnalysis;321;12912;11022;317;24;496;16;0
10;3.10;non-incremental;310;12912;11021;0;0;0;0;0
11;3.10;non-incremental;310;12912;11020;0;0;0;0;0
12;3.10;non-incremental;311;12912;11021;0;0;0;0;0
13;3.10;non-incremental;311;12912;11020;0;0;0;0;0
14;3.10;non-incremental;321;12912;11021;0;0;0;0;0
15;3.10;non-incremental;310;12912;11021;0;0;0;0;0
16;3.10;non-incremental;311;12912;11023;0;0;0;0;0
17;3.10;non-incremental;308;12912;11021;0;0;0;0;0
18;3.10;non-incremental;321;12912;11024;0;0;0;0;0
19;3.10;non-incremental;327;12912;11020;0;0;0;0;0
1;3.10;non-incremental;312;12912;11023;0;0;0;0;0
20;3.10;non-incremental;326;12912;11021;0;0;0;0;0
21;3.10;non-incremental;308;12912;11022;0;0;0;0;0
22;3.10;non-incremental;312;12912;11023;0;0;0;0;0
23;3.10;non-incremental;309;12912;11021;0;0;0;0;0
24;3.10;non-incremental;314;12912;11021;0;0;0;0;0
25;3.10;non-incremental;311;12912;11022;0;0;0;0;0
26;3.10;non-incremental;309;12912;11022;0;0;0;0;0
27;3.10;non-incremental;310;12912;11023;0;0;0;0;0
28;3.10;non-incremental;311;12912;11023;0;0;0;0;0
29;3.10;non-incremental;313;12912;11020;0;0;0;0;0
2;3.10;non-incremental;317;12912;11021;0;0;0;0;0
30;3.10;non-incremental;317;12912;11023;0;0;0;0;0
31;3.10;non-incremental;309;12912;11022;0;0;0;0;0
32;3.10;non-incremental;308;12912;11023;0;0;0;0;0
33;3.10;non-incremental;310;12912;11021;0;0;0;0;0
34;3.10;non-incremental;310;12912;11022;0;0;0;0;0
35;3.10;non-incremental;311;12912;11021;0;0;0;0;0
36;3.10;non-incremental;307;12912;11021;0;0;0;0;0
37;3.10;non-incremental;309;12912;11021;0;0;0;0;0
38;3.10;non-incremental;322;12912;11022;0;0;0;0;0
39;3.10;non-incremental;310;12912;11021;0;0;0;0;0
3;3.10;non-incremental;312;12912;11021;0;0;0;0;0
40;3.10;non-incremental;309;12912;11022;0;0;0;0;0
41;3.10;non-incremental;313;12912;11022;0;0;0;0;0
42;3.10;non-incremental;310;12912;11022;0;0;0;0;0
43;3.10;non-incremental;323;12912;11022;0;0;0;0;0
44;3.10;non-incremental;309;12912;11022;0;0;0;0;0
45;3.10;non-incremental;310;12912;11021;0;0;0;0;0
46;3.10;non-incremental;311;12912;11021;0;0;0;0;0
47;3.10;non-incremental;310;12912;11021;0;0;0;0;0
48;3.10;non-incremental;313;12912;11023;0;0;0;0;0
49;3.10;non-incremental;329;12912;11021;0;0;0;0;0
4;3.10;non-incremental;310;12912;11022;0;0;0;0;0
50;3.10;non-incremental;328;12912;11022;0;0;0;0;0
5;3.10;non-incremental;312;12912;11023;0;0;0;0;0
6;3.10;non-incremental;309;12912;11022;0;0;0;0;0
7;3.10;non-incremental;311;12912;11023;0;0;0;0;0
8;3.10;non-incremental;311;12912;11022;0;0;0;0;0
9;3.10;non-incremental;310;12912;11022;0;0;0;0;0
10;3.10;normal;307;12912;11023;459;0;0;0;0
11;3.10;normal;306;12912;11021;459;0;0;0;0
12;3.10;normal;301;12912;11022;459;0;0;0;0
13;3.10;normal;307;12912;11021;459;0;0;0;0
14;3.10;normal;306;12912;11021;459;0;0;0;0
15;3.10;normal;311;12912;11022;459;0;0;0;0
16;3.10;normal;307;12912;11021;459;0;0;0;0
17;3.10;normal;304;12912;11023;459;0;0;0;0
18;3.10;normal;299;12912;11023;459;0;0;0;0
19;3.10;normal;333;12912;11023;459;0;0;0;0
1;3.10;normal;305;12912;11021;1314;0;0;0;0
20;3.10;normal;302;12912;11022;459;0;0;0;0
21;3.10;normal;318;12912;11023;459;0;0;0;0
22;3.10;normal;302;12912;11021;459;0;0;0;0
23;3.10;normal;311;12912;11023;459;0;0;0;0
24;3.10;normal;305;12912;11022;459;0;0;0;0
25;3.10;normal;305;12912;11022;459;0;0;0;0
26;3.10;normal;306;12912;11021;459;0;0;0;0
27;3.10;normal;305;12912;11022;459;0;0;0;0
28;3.10;normal;301;12912;11022;459;0;0;0;0
29;3.10;normal;304;12912;11021;459;0;0;0;0
2;3.10;normal;295;12912;11022;1314;0;0;0;0
30;3.10;normal;307;12912;11023;459;0;0;0;0
31;3.10;normal;303;12912;11021;459;0;0;0;0
32;3.10;normal;305;12912;11021;459;0;0;0;0
33;3.10;normal;303;12912;11020;459;0;0;0;0
34;3.10;normal;304;12912;11023;459;0;0;0;0
35;3.10;normal;303;12912;11021;459;0;0;0;0
36;3.10;normal;303;12912;11022;459;0;0;0;0
37;3.10;normal;303;12912;11021;459;0;0;0;0
38;3.10;normal;318;12912;11021;459;0;0;0;0
39;3.10;normal;305;12912;11021;459;0;0;0;0
3;3.10;normal;292;12912;11022;1314;0;0;0;0
40;3.10;normal;306;12912;11023;459;0;0;0;0
41;3.10;normal;307;12912;11022;459;0;0;0;0
42;3.10;normal;315;12912;11023;459;0;0;0;0
43;3.10;normal;307;12912;11021;459;0;0;0;0
44;3.10;normal;307;12912;11021;459;0;0;0;0
45;3.10;normal;301;12912;11021;459;0;0;0;0
46;3.10;normal;314;12912;11021;459;0;0;0;0
47;3.10;normal;324;12912;11023;459;0;0;0;0
48;3.10;normal;303;12912;11023;459;0;0;0;0
49;3.10;normal;302;12912;11022;459;0;0;0;0
4;3.10;normal;291;12912;11021;1314;0;0;0;0
50;3.10;normal;315;12912;11023;459;0;0;0;0
5;3.10;normal;322;12912;11021;1314;0;0;0;0
6;3.10;normal;293;12912;11022;1314;0;0;0;0
7;3.10;normal;288;12912;11022;1314;0;0;0;0
8;3.10;normal;298;12912;11023;1314;0;0;0;0
9;3.10;normal;303;12912;11021;459;0;0;0;0
10;3.10;prioritiseKillingTests;302;12912;11022;317;0;0;0;9456
11;3.10;prioritiseKillingTests;302;12912;11022;317;0;0;0;9457
12;3.10;prioritiseKillingTests;305;12912;11022;317;0;0;0;9467
13;3.10;prioritiseKillingTests;308;12912;11023;317;0;0;0;9449
14;3.10;prioritiseKillingTests;299;12912;11024;317;0;0;0;9461
15;3.10;prioritiseKillingTests;314;12912;11022;316;0;0;0;9466
